,SRC,TRG
22,Write a program to to print the contents of a given file,"file_name = 'temp.txt'
with open(file_name, 'r') as f:
    print(f.read())"
23,Write a functin that returns the LCM of two input numbers,"def lcm(a, b):
    if a>b:
        min_ = a
    else:
        min_ = b
    while True:
        if min_%a==0 and min_%b==0:
            break
        min_+=1
    return min_"
24,Write a program to print the unique elements in a list,"my_list = [1, 2, 4, 5, 2, 3, 1, 5, 4, 7, 8, 2, 4, 5, 2, 7, 3]
print(set(my_list))"
25,Write a function that returns the sum of digits of a given number,"def digisum(num):
    sum_=0
    while num > 0:
        dig = num % 10
        sum_+=dig
        num//=10
    return sum_"
26,Write a program to check and print whether a number is palindrome or not,"num = 12321
temp = num
rev = 0
while num > 0:
    dig = num % 10
    rev = rev*10 + dig
    num//=10
if temp==rev :
    print(""The number is a palindrome!"")
else:
    print(""The number isn't a palindrome!"")"
27,"Write a function that prints a given value, n number of times","def print_n(val, n):
    for _ in range(n):
        print(val)"
28,Write a function to find the area of sqaure,"def square_area(a):
    return a*a"
29,Write a function to find the perimeter of a square,"def square_perimeter(a):
    return 4*a"
30,Write a function to find the area of rectangle,"def rectangle_area(l, b):
    return l*b"
31,Write a function to find the permieter of a rectangle,"def rectangle_perimeter(l, b):
    return 2*(l+b)"
32,"Write a python function to find the area of a circle, whose radius is given","def findArea(r): 
    PI = 3.142
    return PI * (r*r)"
33,Write a function to calculate and return electricity bill. Units used are given. Price per unit is fixed and is increased after 750 units.,"def calc_elect_bill(units):
    if units > 0:
        if units <= 750:
            return 5*units
        else:
            return 5*(750) + 7*(units-750)
    else:
        return -1"
34,"Write a function to return day of a week, given the number","def give_day(n):
    day_dict = {1: 'Sunday', 2: 'Monday', 3: 'Tuesday', 4: 'Wednesday', 5: 'Thursday', 6: 'Friday', 7: 'Saturday'}
    return day_dict[n]"
35,Write a program to calculate and print the volume of a cylender,"r = 3
h = 5
pi = 3.14
volume = pi*(r**2)*h
print(volume)"
36,Write a function to calculate and return the average of input numbers,"def calc_avg(*args):
    if len(args) > 0:
        return sum(args)/len(args)
    return None"
37,"Write a function to calculate compound interest, given p, r, t","def comp_int(p, r, t):
    amount = p * (1 + (r/100))**t
    interest = amount - p
    return interest"
38,"Write a function to calculate simple interest, given p, r, t","def simp_int(p, r, t):
    interest = (p*r*t)/100
    return interest"
39,"Write a program to print a given string, replacing all the vowels with '_'","st = ""Where is this going? Could you please help me understand!""
vowels = ""AEIOUaeiou""
for v in vowels:
    st = st.replace(v, '_')
print(st)"
40,Write a functio to check whether a number if perfect or not,"def is_perfect(n):
    sum_ = 0
    for i in range(1, n//2 + 1):
        if n%i == 0:
            sum_+=i
    if sum_ == n:
        return True
    return False"
41,Write a function that returns seperate lists of positive and negative numbers from an input list,"def seperate_pn(l):
    pos_list = []
    neg_list = []
    for _ in l:
        if _<0:
            neg_list.append(_)
        else:
            pos_list.append(_)
    return pos_list, neg_list"
42,"Write a program to find and print the area of a triangle, whose hight and width are given.","h = 12
w = 11
area = 0.5*h*w
print(area)"
43,"Write a function to find acceleration, given u, v and t","def acc(u, v, t):
    return (v-u)/t"
44,Write a lambda function to multiply two numbers,"multiply = lambda a, b: a*b"
45,Write a lambda function to add two numbers,"add = lambda a, b: a+b"
46,Write a lambda function that gives True if the input number is even otherwise False,even = lambda a: True if a%2 == 0 else False
47,Write a lambda function to to give character grom it's ascii value,ascii = lambda a: chr(a)
48,Write a lambda function to that gives the number of digits in a number,dig_cnt = lambda a: len(str(a))
49,"Write a program to to check if a triangle is valid or not, given it's all three angles","def is_valid_triangle_angle(a, b c):
    if a+b+c == 180:
        return True
    return False"
50,"Write a program to to check if a triangle is valid or not, given it's all three sides' length","def is_valid_triangle_length(a, b c):
    if a>0 and b>0 and c>0:
        if a+b > c and a+c > b and b+c > a:
            return True
    return False"
51,Write a lambda functio that gives the word count in a statement.,count_word = lambda s: len(s.split(' '))
52,Write a program to extract and print digits of a number in reverse order. The number is input from user.,"num = int(input(""Enter a number with multiple digit: ""))
n=0
while num>0:
    a = num%10
    num = num - a
    num = num/10
    print(int(a),end="""")
    n = n + 1"
53,"Write a function that takes in height(m) and weight(kg), calculates BMI and prints the comments","def bmi(height: ""Meters"", weight: ""Kgs""):
    bmi = weight/(height**2) 
    print(""Your BMI is: {0} and you are "".format(bmi), end='')
    if ( bmi < 16):
       print(""severely underweight."")
    elif ( bmi >= 16 and bmi < 18.5):
       print(""underweight."")
    elif ( bmi >= 18.5 and bmi < 25):
       print(""healthy."")
    elif ( bmi >= 25 and bmi < 30):
       print(""overweight."")
    elif ( bmi >=30):
       print(""severely overweight."")"
54,Write a program that prints all the alphabets in a string and skips all other characters,"string = ""$john.snow#@Got.bad_ending/com""
for ch in string:
    if (ch>='A' and ch<='Z') or (ch>='a' and ch<='z'):
        print(ch, end='')
    else:
        pass"
55,Write a function that takes number of disks in tower of hanaoi problem and returns the minimum number of steps required,"def hanoi(x):
    if x == 1:
        return 1
    else:
        return 2*hanoi(x-1) + 1"
56,Write a lambda function to convert centimeters to inches,cm_to_inch = lambda x: x/2.54
57,Write a lambda function to find the union of two lists,"union = lambda a, b: list(set(a)|set(b))"
58,Write a lambda function to find the intersection of two lists,"intersection = lambda a, b: list(set(a)&set(b))"
59,Write a program that adds the square of two numbers and prints it,"a = 32
b = 21
result = a**2 + b**2
print(result)"
60,Write a python function to concat the input strings and there's also a choice for seperator,"def con_str(*args, sep = ' '):
  return sep.join(args)"
61,Write a program to print all the even numbers in a range,"r1, r2 = 1, 28
for _ in range(r1, r2+1):
  if _%2 == 0:
    print(_)"
62,write a python program to sort dictionary items,"dict1 = {'car': [7, 6, 3],  
             'bike': [2, 10, 3],  
             'truck': [19, 4]}
print(f""The original dictionary is : {str(dict1)}"") 
res = dict() 
for key in sorted(dict1): 
    res[key] = sorted(dict1[key])
print(f""The sorted dictionary : {str(res)}"")"
63,write a program to display date and time,"import datetime
now = datetime.datetime.now()
time= now.strftime(""%Y-%m-%d %H:%M:%S"")
print(f""Current date and time : {time}"")"
64,write a program to return the absolute value,"num = -10
print(f'Absolute of {num} is {abs(num)}')"
65,write a python program to check the length of list,"sample_list = ['a','b','c']
print(f'length of sample_list is {len(sample_list)}')"
66,write a Python program to calculate number of days between two dates.,"from datetime import date
f_date = date(2019, 4, 15) # YYYY/MM/DD
l_date = date(2020, 4, 15) # YYYY/MM/DD
delta = l_date - f_date
print(f'No of days between {f_date} and {l_date} is:{delta.days}')"
67,write a Python program to convert Python objects into JSON strings.,"import json
python_dict =  {""name"": ""David"", ""age"": 6, ""class"":""I""}
json_dict = json.dumps(python_dict, sort_keys=True, indent=4)
print(f""json dict : {json_dict}"")"
68,write a Python program to get the largest number from a list,"def max_num_in_list(list):
    max = list[0]
    for a in list:
        max = a if a > max else max
    return max
print(f'max_num_in_list [1, 10, -8, 0], Ans:{max_num_in_list([1, 10, -8, 0])}')"
69,write a Python program to remove duplicates from a list,"a = [10,20,30,20,10,50,60,40,80,50,40]
dup_items = set()
uniq_items = []
for x in a:
    if x not in dup_items:
        uniq_items.append(x)
        dup_items.add(x)
print(f'dup_items:{dup_items}')"
70,write a Python program to flatten a shallow list,"import itertools
original_list = [[2,4,3],[1,5,6], [9], [7,9,0], [1,2,3,4]]
new_merged_list = list(itertools.chain(*original_list))
print(f'merged list/flatten:{new_merged_list}')"
71,write a Python program to create multiple list,"obj = {}
for i in range(1, 11):
    obj[str(i)] = []
print(f'create multiple list:{obj}')"
72,write a Python program to merge two dictionaries,"d1 = {'a': 100, 'b': 200}
d2 = {'x': 300, 'y': 200}
d = d1.copy()
d.update(d2)
print(f'merge two dictionaries:{d}')"
73,write a Python program to Sum all the items in a dictionary,"my_dict = {'data1':100,'data2':-54,'data3':247}
print(f'Sum all the items in a dictionary:{sum(my_dict.values())}')"
74,write a python program to Get the maximum and minimum value in a dictionary,"my_dict = {'x':500, 'y':5874, 'z': 560}
key_max = max(my_dict.keys(), key=(lambda k: my_dict[k]))
key_min = min(my_dict.keys(), key=(lambda k: my_dict[k]))
print('Maximum Value in a dictionary: ',my_dict[key_max])
print('Minimum Value in a dictionary: ',my_dict[key_min])"
75,write a python program to do nothing for a condition,"if 1 + 1 == 2:
    pass # Nothing"
76,write a python program to make use of enumerate method,"for count, value in enumerate(obj):
    print(count, value)"
77,write a python program to make use of setdefault for missing dictionary keys,"a_dict = {'a':1}
a_dict.setdefault('b',2)
print(f'After appending with new value:{a_dict}')"
78,write a python program to make use of maps,"def square(number):
    return number ** 2
numbers = [1, 2, 3, 4, 5]
squared = map(square, numbers)
print(f'mapped numbers:{list(squared)}')"
79,write a python program to make use of modulo operator,print(f'modulo 15 % 4: Sol->{15 % 4}')
80,write a python program to explain enclosing and global scope,"x = 'global'
def f():
    x = 'enclosing'
    def g():
        print(x)
    g()
    return x
obj1 = f()
print('explain global scope:',obj1)"
81,write a python program to expain local and global scope,"def f1():
    x = 'enclosing'
    def g():
        x = 'local'
        return x
    x=g()
    return x
obj2 = f1()
print('explain local scope:',obj2)"
82,write a python program to make use of regular expression for matching,"import re
print('Find the characters in the given string:',re.findall(r'[a-z]+', '123FOO456', flags=re.IGNORECASE))"
83,write a python program to make use of regular expression for matching,"s = 'foo123bar'
m = re.findall('123', s)
print('find the number position:',m)"
84,write a python program to convert lower string to UPPERCASE,"a = 'string'
print(f'convert lowercase to uppercase:{a.upper()}')"
85,write a python program to convert uppercase string to lower,"a = 'STRING'
print(f'convert lowercase to uppercase:{a.lower()}')"
86,write a Python Program to Find the Square Root,"num = 8 
num_sqrt = num ** 0.5
print('The square root of %0.3f is %0.3f'%(num ,num_sqrt))"
87,write a Python Program to Convert Kilometers to Miles,"kilometers = 10.0
conv_fac = 0.621371
miles = kilometers * conv_fac
print('%0.2f kilometers is equal to %0.2f miles' %(kilometers,miles))"
88,write a Python Program to Convert Celsius To Fahrenheit,"celsius = 37.5
fahrenheit = (celsius * 1.8) + 32
print('%0.1f degree Celsius is equal to %0.1f degree Fahrenheit' %(celsius,fahrenheit))"
89,"write a Python Program to Check if a Number is Positive, Negative or 0","num = 10
if num > 0:
   print(""Positive number"")
elif num == 0:
   print(""Zero"")
else:
   print(""Negative number"")"
90,Python Program to Check if a Number is Odd or Even,"num = 100
if (num % 2) == 0:
   print(""{0} is Even"".format(num))
else:
   print(""{0} is Odd"".format(num))"
91,Python Program to Display the multiplication Table,"num = 12
for i in range(1, 11):
   print(num, 'x', i, '=', num*i)"
92,write a program for Rolling the dices,"import random
min = 1
max = 6
print(""Rolling the dices...and the values are"",random.randint(min, max))
print(""Rolling the dices...and the values are"",random.randint(min, max))"
93,write a python program to calculate the average,"list1 = [1,3,4,5]
average = (sum(list1)) / len(list1)
print(f""the average score is:  {average} "")"
94,write a python program to print reverse list,print(f'reverese the given list elements:{list1[::-1]}')
95,write a python program for creating the thread,"import threading
from threading import Thread
import time
def print_time( threadName, delay):
    count = 0
    while count < 5:
        time.sleep(delay)
        count += 1
        print(""%s: %s"" % ( threadName, time.ctime(time.time()) ))"
96,write a python program to check a num is less than 1000,"def near_thousand(n):
      return ((abs(1000 - n) <= 100) or (abs(2000 - n) <= 100))
print('near to 1000',near_thousand(1000))
print('near to 1300',near_thousand(1300))"
97,write a python program to convert lower case to upper for list of elements,"x = ['ab', 'cd']
for i in x:
    print(i.upper())"
98,write a python program to break when the num is perfectly divisible,"i = 1
while True:
    if i%3 == 0:
        break
    print(i)
    i+= 1"
99,write a python program to check name exists in given list,"names1 = ['Amir', 'Bala', 'Chales']
for n in names1:
    name = n.lower()
    if 'amir' == name:
        print('Yes name exists:',name)
    else:
        print('No')"
100,write a python program to print a matrix as output,"matrix = [[1, 2, 3, 4],
       [4, 5, 6, 7],
       [8, 9, 10, 11],
       [12, 13, 14, 15]]
for i in range(0, 4):
    print(matrix[i][1], end = "" "")"
101,write a python program to calculate the time taken,"from time import localtime
activities = {8: 'Sleeping',
              9: 'Commuting',
              17: 'Working',
              18: 'Commuting',
              20: 'Eating',
              22: 'Resting' }
time_now = localtime()
hour = time_now.tm_hour
for activity_time in sorted(activities.keys()):
    if hour < activity_time:
        print (activities[activity_time])
        break
else:
    print ('Unknown, AFK or sleeping!')"
102,write a python program to search a key in the text file,"fname = 'sample.txt'
l='keyword' # Enter letter to be searched
k = 0
with open(fname, 'r') as f:
    for line in f:
        words = line.split()
        for i in words:
            if(i==l):
                k=k+1
print(""Occurrences of the letter:"",k)"
103,write a python program to expalin list comprehension and print alternative values,"t = (1, 2, 4, 3, 8, 9)
print([t[i] for i in range(0, len(t), 2)])"
104,write a python program to sort tuple values,"a=(2,3,1,5)
tuple_sorted = sorted(a)
print(tuple(tuple_sorted))"
105,write a python program to multiple two list values,"l1=[1,2,3]
l2=[4,5,6]
print('multiply two list values:',[x*y for x in l1 for y in l2])"
106,write the list comprehension to pick out only negative integers from a given list ‘l’.,"l1=[1,2,3,-4,-8]
print('negative integers:', [x for x in l1 if x<0])"
107,write a python program to convert all list elements to upper case,"s=[""pune"", ""mumbai"", ""delhi""]
print([(w.upper(), len(w)) for w in s])"
108,write a python program to expalin python zip method,"l1=[2,4,6]
l2=[-2,-4,-6]
for i in zip(l1, l2):
	print(i)"
109,write a python program to add two list using python zip method,"l1=[10, 20, 30]
l2=[-10, -20, -30]
l3=[x+y for x, y in zip(l1, l2)]
print('added two list:',l3)"
110,write a list comprehension for number and its cube,"l=[1, 2, 3, 4, 5, 6, 7, 8, 9]
print([x**3 for x in l])"
111,write a list comprehension for printing rows into columns and vv,"l=[[1 ,2, 3], [4, 5, 6], [7, 8, 9]]
print([[row[i] for row in l] for i in range(3)])"
112,write a list comprehension for printing rows into columns and vv,"def unpack(a,b,c,d):
    print(a+d)
x = [1,2,3,4]
unpack(*x)"
113,write a python program to use python lambda function,"lamb = lambda x: x ** 3
print(lamb(5))"
114,write a python program to multiply a string n times,"a = 'python'
print(a*5)"
115,write a python to check two numbers are greater than or equal or less than,"def maximum(x, y):
    if x > y:
        return x
    elif x == y:
        return 'The numbers are equal'
    else:
        return y
print(maximum(2, 3))"
116,write a python to dict to zip and print as dictionary elements in original form,"a={""a"":1,""b"":2,""c"":3}
b=dict(zip(a.values(),a.keys()))
print(b)"
117,write a python program to delete an dictionary element,"a={1:5,2:3,3:4}
a.pop(3)
print(a)"
118,write a python program to check two dictionary are equal or not,"d1 = {""john"":40, ""peter"":45}
d2 = {""john"":466, ""peter"":45}
d1 == d2"
119,write a python program to print only dictionary keys as list,"d = {""john"":40, ""peter"":45}
print(list(d.keys()))"
120,write a python program to check two lists are equal or not,"a=[1, 4, 3, 5, 2]
b=[3, 1, 5, 2, 4]
print(a==b)"
121,write a python program to check two lists are equal or not,"a=frozenset(set([5,6,7]))
print(a)"
122,write a python program to sum the set of unqiue elements,"a={5,6,7}
print(sum(a,5))"
123,write a python program to implement try catch code,"try:
    s={5,6}
    s*3
except Exception as e:
    print(e)"
124,write a python program to count the len of unique elements,"nums = set([1,1,2,3,3,3,4,4])
print(len(nums))"
125,write a python program to split in python,"print('abcdefcdghcd'.split('cd', 2))"
126,write a python program to add title to string,print('ab cd-ef'.title())
127,write a python program to print equal lenght of string,print('ab'.zfill(5))
128,write a python program to use string replace,"print('abcdef12'.replace('cd', '12'))"
129,write a python program to check string istitle,"str1 = 'Hello!2@#World'
if str1.istitle():
    print('Yes string is title')"
130,write a python program to do lstrip on string,print('xyyzxxyxyy'.lstrip('xyy'))
131,write a python program to check identifier/keyword,print('for'.isidentifier())
132,write a python program to check is an num/int,print('11'.isnumeric())
133,write a python program to check is an variable is printable,print('1@ a'.isprintable())
134,write a python program to check it contains any space,print(''''''.isspace())
135,write a python program to check is an title,print('HelloWorld'.istitle())
136,write a python program to check is all are num/int,"print('ab,12'.isalnum())"
137,write a python program to check is all are alphanumeric,print('ab'.isalpha())
138,write a python program to check is all are digit,print('0xa'.isdigit())
139,write a python program to use f string,"var1 = 'python language'
print(f'f-string is an good feature in {var1}')"
140,write a python program to iterate an dict and concatenate,"D=dict(p='san', q='foundry')
print('{p}{q}'.format(**D))"
141,write a python program to replace blank space to 1,"a='1 0 0 1'
print(a.replace(' ', '1'))"
142,write a python program to explain the generator,"def f11(x):
    yield x+1
g=f11(8)
print(next(g))"
143,write a python program to replace blank space to 1,"def f12(x):
    yield x+1
    print(""test"")
    yield x+2
g=f12(9)
print(next(g))"
144,write a python program to replace blank space to 1,"a = re.compile('[0-9]')
z= a.findall('3 trees')
print(z)"
145,write a python program to print current working directory,"import os
print(os.getcwd())"
146,write a python program to print the ascii value of a string,print([ord(ch) for ch in 'abc'])
147,write a python program to use extend in list/ append to a list,"a=[13,56,17]
a.append([87])
a.extend([45,67])
print(a)"
148,write a python program to replace blank space to 1,"my_string = 'balaji'
k = [print(i) for i in my_string if i not in ""aeiou""]
print('Not a vowel',k)"
149,write a python program to add and square a range of number,x = [i**+1 for i in range(3)]; print(x)
150,write a python program to replace blank space to 1,"print([i+j for i in ""abc"" for j in ""def""])"
151,write a python program to multiply two list with list comprehensive,"l1=[1,2,3]
l2=[4,5,6]
print([x*y for x in l1 for y in l2])"
152,write a python program to print only digit or only apha charac in a given list,"l=[""good"", ""oh!"", ""excellent!"", ""#450""]
print([n for n in l if n.isalpha() or n.isdigit()])"
153,write a python program to print todays date,"tday=datetime.date.today()
print(tday)"
154,write a python program to check tuple are immutable,"a=(1,2,3)
try:
    a = a+1
except Exception as e:
    print(e)"
155,write a python program to calculate factorial sum using list comprehensive,"import functools 
n =5
print(functools.reduce(lambda x, y: x * y, range(1, n+1)))"
156,write a python program to print len of each characters,"words = ['cat', 'window', 'defenestrate']
for w in words:
    print(w, len(w))"
157,write a python program to make increment on each call of method using lambda function,"def make_incrementor(n):
    return lambda x: x + n
f = make_incrementor(42)
f(0)
print(f(1))"
158,write a python program to sort using list comprehensive,"pairs = [(1, 'one'), (2, 'two'), (3, 'three'), (4, 'four')]
pairs.sort(key=lambda pair: pair[1])
print(pairs)"
159,"write a python program to del the first element of the array/list
 write a python program to replace the first character of a given word
 write a python program to find a string in a given phrase
 write a python program to expalin the use of f-string","a = [-1, 1, 66.25, 333, 333, 1234.5]
del a[0]
print(a)
word = ""goal""
word = ""f"" + word[1:]
print(word)
phrase = ""the surprise is in here somewhere""
print(phrase.find(""surprise""))
n = 3
m = 4
print(f""{n} times {m} is {n*m}"")"
160,write a python program to multiply three numbers,"num1 = 1.5
num2 = 6.3
num3 = -2.3
product = num1 * num2 * num3
print(f'Product: {product}')"
161,"write a python function that when given two numbers, would divide the first number by second number and return the quotient and remainder","def divide_first_number_by_second(num1, num2):
    return (num1 // num2), (num1 % num2)"
162,write a python function to return the largest and smallest numbers in the given list and return None if the list is empty,"def largest_and_smallest(list_of_nums):
    if list_of_nums:
        return max(list_of_nums), min(list_of_nums)
    else:
        return"
163,"write a recursive python function to print the nth fibonacci number, where n is provided as the argument","def fibonacci_recursive(n):
   if n <= 1:
       return n
   else:
       return (recur_fibo(n-1) + recur_fibo(n-2))"
164,write a python function that would read the given input file path and print its contents,"def read_and_print_file(filepath):
    with open(filepath, ""r"") as infile:
        print( infile.read() )"
165,write a python program that would print the first n positive integers using a for loop,"n = 62
for num in range(n):
    print(num)"
166,write a python function that returns the input list sorted in ascending order,"def sort_ascending(list_to_be_sorted):
    return sorted(list_to_be_sorted)"
167,write a python function that returns the input list sorted in descending order,"def sort_descending(list_to_be_sorted):
    return sorted(list_to_be_sorted, reverse=True)"
168,"write a python function that would return the sum of first n natural numbers, where n is the input","def sum_first_n(n):
    return ( n * (n+1) ) // 2"
169,"write a recursive python function that would return the sum of first n natural numbers, where n is the input","def sum_first_n_recursive(n):
    if n == 0:
        return 0
    return sum_first_n_recursive(n-1) + n"
170,"write a python function that would filter a list of dictionaries where a specified key equals given value, list_of_dictionaries, key and value are inputs to this function.","def filter_with_key_value(list_of_dicts, key, value):
    return list( filter( lambda x: x.get(key) == value, list_of_dicts ) )"
171,write a recursive python function that takes either a list or tuple as input and reverses the order of its elements,"def reverse(seq):
    SeqType = type(seq)
    emptySeq = SeqType()
    if seq == emptySeq:
        return emptySeq
    restrev = reverse(seq[1:])
    first = seq[0:1]
    result = restrev + first
    return result"
172,write a python function that returns the square of a given input number,"def square(x):
    return x**2"
173,write a python program that asks for user input and prints the given input,"a = input(""User Input"")
print(a)"
174,write a python function shifts and scales all numbers in the given list by the given mean and standard deviation,"def shift_and_scale(list_of_nums, mean, std):
    return [ (x-mean) / std for x in list_of_nums ]"
175,write a python function that takes in a list of sequences and zips each corresponding element from the list into a tuple and returns the list of such tuples,"def zip_(list_of_seq):
    return list(zip(*list_of_seq))"
176,write python program that would merge two dictionaries by adding the second one into the first,"a = {""a"": 1, ""b"": 3}
b = {""c"": 1, ""d"": 3}
a.update(b)"
177,write a python function that would reverse the given string,"def reverse_string(str_to_be_reversed):
    return str_to_be_reversed[::-1]"
178,"write a python program that would print ""Hello World""","print(""Hello World"")"
179,write a python program that would swap variable values,"a = 10
b = 15
a, b = b, a"
180,write a python program that iterates over a dictionary and prints its keys and values,"a = {""a"":1, ""b"":2, ""c"":3, ""d"":4}
for k, v in a.items():
    print(k, v)"
181,write a python function that would print the ASCII value of a given character,"def print_ascii(char):
    print(ord(char))"
182,write a python function that takes in two numbers and returns their HCF,"def hcf(num1, num2):
    smaller = num1 if num1 < num2 else num2
    for i in range(1, smaller+1):
        if (num1 % i == 0) and (num2 % i == 0):
            hcf = i
    return hcf"
183,write a python function that takes in two numbers and returns their LCM,"def lcm(num1, num2):
    bigger = num1 if num1 > num2 else num2
    while True:
        if (bigger % num1 == 0) and (bigger % num2 == 0):
            break
        bigger += 1
    return bigger"
184,"write a recursive python function to calculate sum of natural numbers upto n, where n is an argument","def recursive_sum(n):
    if n <= 1:
        return n
    else:
        return n + recursive_sum(n-1)"
185,write a python function that deletes the last element of a list and returns the list and the deleted element,"def delete_last_element(list_to_be_processed):
    deleted_element = list_to_be_processed.pop()
    return list_to_be_processed, deleted_element"
186,write a python function that takes in a list and returns a list containing the squares of the elements of the input list,"def square_list_elements(list_to_be_squared):
    return list( map(lambda x: x**2, list_to_be_squared) )"
187,"write a python function that finds square roots of a given number, if the square root is an integer, else returns the message ""Error - the square root is not an integer""","def find_integer_square_roots(num):
    found = False
    for k in range(1, (num//2)+1):
        if ((k**2)==num):
            found = True
            break
    if not found:
        return ""Error - the square root is not an integer""
    return -k, k"
188,write a python program that prints out natural numbers less than or equal to the given number using a while loop,"input_num = 27
while input_num:
    print(input_num)
    input_num -= 1"
189,"write a python function that takes two numbers. The function divides the first number by the second and returns the answer. The function returns None, if the second number is 0","def divide(num1, num2):
    if num2 == 0:
        return
    else:
        return num1 / num2"
190,write a python program uses else with for loop,"seq = ""abcde""
for k in seq:
    if k == ""f"":
        break
else:
    print(""f Not Found!"")"
191,Write a function to return the mean of numbers in a list,"def cal_mean(num_list:list)->float:
    if num_list:
        return sum(num_list)/len(num_list)
    else:
        return None"
192,Write a function to return the median of numbers in a list,"def cal_median(num_list:list)->float:
    if num_list:
        if len(num_list)%2 != 0:
            return sorted(num_list)[int(len(num_list)/2) - 1]
        else:
            return (sorted(num_list)[int(len(num_list)/2) - 1] + sorted(num_list)[int(len(num_list)/2)])/2
    else:
        return None"
193,Write a function to return the area of triangle by heros formula,"def cal_triangle_area(a:float,b:float,c:float)->float:
    if a or b or c:
        s = (a+b+c)/2
        if s>a and s>b and s>c:
            area = (s*(s-a)*(s-b)*(s-c))**(1/2)
            return round(area,2)
        else:
            return None
    return None"
194,Write a function to return the area of a equilateral triangle,"def cal_eq_triangle_area(a:float)->float:
    if a:
        return (3**(1/2))*(a**2)/4
    else:
        return None"
195,Write a function to return the area of a right angle triangle,"def cal_rt_triangle_area(base:float,height:float)->float:
    if base and height:
        return (base*height)/2
    else:
        return None"
196,Write a function to return the cartisian distance of a point from origin,"def cal_dist_from_orign(x:float,y:float)->float:
    return (x**2+y**2)**(1/2)"
197,Write a function to return the cartisian distance between two points,"def cal_cart_distance(x1:float,y1:float,x2:float,y2:float)->float:
    return ((x1-x2)**2+(y1-y2)**2)**(1/2)"
